Name,Call_Start,Call_End,Call_Phone_No
Tammy Jimenez,2010-01-23 17:21:47,2010-01-23 17:27:04,(506)446-5753
Travis Mcneil,2010-01-27 14:00:50,2010-01-27 14:18:46,131-008-3082x060
Brandi Price,2010-01-22 04:22:24,2010-01-22 04:35:27,152.360.0249x7886
Timothy Gibbs,2010-01-16 10:04:19,2010-01-16 10:05:06,(984)175-0174x726
Michael Logan,2010-01-15 09:33:02,2010-01-15 09:47:26,(079)310-0454x65703
Alison Tucker,2010-01-17 02:26:09,2010-01-17 02:44:24,04771968654
Diana Anderson,2010-01-11 15:33:01,2010-01-11 15:35:38,01211859086
Jeffery Spears,2010-01-30 07:37:40,2010-01-30 07:39:33,279-044-5088x54896
Mrs. Brittany Jones,2010-01-07 04:57:46,2010-01-07 05:16:24,376.606.3705x41652
Jeffrey Mosley,2010-01-25 20:58:53,2010-01-25 21:09:07,133-143-4119
Alexander Holloway,2010-01-04 19:28:22,2010-01-04 19:31:11,1-397-547-6710x53995
Bradley Carpenter,2010-01-06 06:37:53,2010-01-06 06:48:15,1-295-050-9613
Joshua Jordan,2010-01-03 07:31:32,2010-01-03 07:42:28,050-355-3530
Phillip Anderson,2010-01-03 17:10:35,2010-01-03 17:21:06,018-061-7427x76180
Kimberly Carr,2010-01-24 00:15:06,2010-01-24 00:33:05,(236)704-8343x988
Scott Parker,2010-01-12 11:03:38,2010-01-12 11:03:53,503-487-3323
Leonard Lopez,2010-01-06 01:00:34,2010-01-06 01:05:44,256-281-0716x28941
Timothy Sparks,2010-01-21 12:11:55,2010-01-21 12:22:27,(970)014-9621x48268
Maria Rodriguez,2010-01-16 20:58:47,2010-01-16 21:04:50,01817905121
Chloe Hernandez,2010-01-29 14:52:58,2010-01-29 15:02:38,237.020.7533x88061
Sharon Hill,2010-01-23 16:35:27,2010-01-23 16:54:36,(113)379-1006
Patricia Peterson,2010-01-09 23:39:37,2010-01-09 23:41:44,921-862-1632
Janice Reynolds,2010-01-22 20:00:32,2010-01-22 20:04:38,237.893.4238
Amy Collins,2010-01-10 19:02:41,2010-01-10 19:07:19,(507)538-9666
Henry Henry,2010-01-02 02:34:49,2010-01-02 02:52:41,477-609-8754
Daniel Davidson,2010-01-18 09:51:58,2010-01-18 10:08:14,094-667-7642
Vincent Mccoy,2010-01-09 15:54:49,2010-01-09 15:59:17,(792)776-6687
Leah Morrison,2010-01-01 00:16:28,2010-01-01 00:18:14,708.738.7089x8896
Sara Ferrell,2010-01-15 06:00:34,2010-01-15 06:12:31,+58(4)3091003050
Alexandra Taylor,2010-01-22 04:45:20,2010-01-22 04:49:07,1-829-023-3497
Sarah Roberts,2010-01-16 07:10:36,2010-01-16 07:21:46,1-820-086-5038x6418
Brittany Bowman,2010-01-30 15:32:11,2010-01-30 15:43:02,(345)025-3058x4855
Jonathan Harris,2010-01-18 15:48:44,2010-01-18 15:58:54,088.240.2254
Audrey Mercado,2010-01-22 19:46:04,2010-01-22 20:00:58,(430)744-2092
Paige Murphy,2010-01-07 19:56:01,2010-01-07 19:58:55,(579)590-2009x4896
Heather Rogers,2010-01-23 06:22:50,2010-01-23 06:35:38,357-518-7395
Gina Hayes,2010-01-31 15:21:29,2010-01-31 15:32:49,1-202-179-2411
Melanie Walters,2010-01-06 16:21:45,2010-01-06 16:28:21,1-619-400-5857x519
Allen Brown,2010-01-31 00:07:57,2010-01-31 00:22:41,654-059-6999
Marisa Robinson,2010-01-11 02:18:37,2010-01-11 02:27:40,1-236-064-8670
John Gallagher,2010-01-03 07:20:05,2010-01-03 07:28:25,680.676.6735x978
Ruth Mills,2010-01-03 15:41:33,2010-01-03 15:51:15,1-790-687-3957x3895
Erica Grimes,2010-01-11 21:27:33,2010-01-11 21:44:04,185-574-9239x41970
Kenneth Curtis,2010-01-15 09:54:23,2010-01-15 10:13:51,02786899872
Hunter Powell,2010-01-29 15:37:25,2010-01-29 15:53:15,1-490-197-8681
